patent_abstract,patent_title
A nonlinear signal mapper that can implement any continuous one-to-one nonlinear map of baseband or intermediate-frequency digital signals. The mapping method follows a &#8220;divide-and-conquer&#8221; approach in that a nonlinear map to be implemented is piecewise decomposed into a set of simpler nonlinear component maps. The component maps are implemented using code-enabled feed-forward neural networks (FF-NNs). Each code-enabled feed-forward neural network only operates on samples of a digital input signal that lie in a specified interval of the real-valued number line. Code-enabled FF-NNs are controlled by codewords produced by a scalar quantization encoder. The quantization encoder also controls a multiplexer that directs values produced by the FF-NNs to the nonlinear mapper's output.,Piecewise nonlinear mapper for digitals
"Described is a system for adapting neural networks. The system receives inputs to be learned by a multi-layered spiking neural network. A first mechanism is implemented to adapt weights on the connections via competition among neurons using Hebbian learning. Activity levels of the neurons are stabilized to allow the multi-layered spiking neural network to learn the inputs. A second mechanism is implemented to increase a learning rate of a neuron over time using Hebbian learning. A third mechanism is implemented, wherein newly created neurons, representing new inputs, copy at least one synaptic structure of older neurons in the multi-layered spiking neural network. The mechanisms are used for continuous, online learning of the inputs to the multi-layered spiking neural network. An autonomous system, such as an autonomous vehicle, can use the learned inputs to learn from its environment and perform tasks, such as classification and prediction.",Plastic neural networks
"A neural network structure includes input units for receiving input data, and a plurality of neural networks connected in parallel and connected to the input units. The plurality of neural networks learn in turn correspondence between the input data and teacher data so that the difference between the input data and the teacher becomes small. The neural network structure further includes output units connected to the plurality of neural networks, for outputting a result of learning on the basis of the results of learning in the plurality of neural networks.",Plural neural network system having a successive approximation learning method
"Technology is disclosed for inferring human attributes from images of people. The attributes can include, for example, gender, age, hair, and/or clothing. The technology uses part-based models, e.g., Poselets, to locate multiple normalized part patches from an image. The normalized part patches are provided into trained convolutional neural networks to generate feature data. Each convolution neural network applies multiple stages of convolution operations to one part patch to generate a set of fully connected feature data. The feature data for all part patches are concatenated and then provided into multiple trained classifiers (e.g., linear support vector machines) to predict attributes of the image.",Pose-aligned networks for deep attribute modeling
"Technology is disclosed for inferring human attributes from images of people. The attributes can include, for example, gender, age, hair, and/or clothing. The technology uses part-based models, e.g., Poselets, to locate multiple normalized part patches from an image. The normalized part patches are provided into trained convolutional neural networks to generate feature data. Each convolution neural network applies multiple stages of convolution operations to one part patch to generate a set of fully connected feature data. The feature data for all part patches are concatenated and then provided into multiple trained classifiers (e.g., linear support vector machines) to predict attributes of the image.",Pose-aligned networks for deep attribute modeling
"A face recognition system and process for identifying a person depicted in an input image and their face pose. This system and process entails locating and extracting face regions belonging to known people from a set of model images, and determining the face pose for each of the face regions extracted. All the extracted face regions are preprocessed by normalizing, cropping, categorizing and finally abstracting them. More specifically, the images are normalized and cropped to show only a person's face, categorized according to the face pose of the depicted person's face by assigning them to one of a series of face pose ranges, and abstracted preferably via an eigenface approach. The preprocessed face images are preferably used to train a neural network ensemble having a first stage made up of a bank of face recognition neural networks each of which is dedicated to a particular pose range, and a second stage constituting a single fusing neural network that is used to combine the outputs from each of the first stage neural networks. Once trained, the input of a face region which has been extracted from an input image and preprocessed (i.e., normalized, cropped and abstracted) will cause just one of the output units of the fusing portion of the neural network ensemble to become active. The active output unit indicates either the identify of the person whose face was extracted from the input image and the associated face pose, or that the identity of the person is unknown to the system.",Pose-invariant face recognition system and process
"A face recognition system and process for identifying a person depicted in an input image and their face pose. This system and process entails locating and extracting face regions belonging to known people from a set of model images, and determining the face pose for each of the face regions extracted. All the extracted face regions are preprocessed by normalizing, cropping, categorizing and finally abstracting them. More specifically, the images are normalized and cropped to show only a persons face, categorized according to the face pose of the depicted person's face by assigning them to one of a series of face pose ranges, and abstracted preferably via an eigenface approach. The preprocessed face images are preferably used to train a neural network ensemble having a first stage made up of a bank of face recognition neural networks each of which is dedicated to a particular pose range, and a second stage constituting a single fusing neural network that is used to combine the outputs from each of the first stage neural networks. Once trained, the input of a face region which has been extracted from an input image and preprocessed (i.e., normalized, cropped and abstracted) will cause just one of the output units of the fusing portion of the neural network ensemble to become active. The active output unit indicates either the identify of the person whose face was extracted from the input image and the associated face pose, or that the identity of the person is unknown to the system.",Pose-invariant face recognition system and process
"A face recognition system and process for identifying a person depicted in an input image and their face pose. This system and process entails locating and extracting face regions belonging to known people from a set of model images, and determining the face pose for each of the face regions extracted. All the extracted face regions are preprocessed by normalizing, cropping, categorizing and finally abstracting them. More specifically, the images are normalized and cropped to show only a persons face, categorized according to the face pose of the depicted person's face by assigning them to one of a series of face pose ranges, and abstracted preferably via an eigenface approach. The preprocessed face images are preferably used to train a neural network ensemble having a first stage made up of a bank of face recognition neural networks each of which is dedicated to a particular pose range, and a second stage constituting a single fusing neural network that is used to combine the outputs from each of the first stage neural networks. Once trained, the input of a face region which has been extracted from an input image and preprocessed (i.e., normalized, cropped and abstracted) will cause just one of the output units of the fusing portion of the neural network ensemble to become active. The active output unit indicates either the identify of the person whose face was extracted from the input image and the associated face pose, or that the identity of the person is unknown to the system.",Pose-invariant face recognition system and process
"A potential estimation apparatus estimates a potential of a photosensitive body of an image forming apparatus that carries out an electro-photography process using the photosensitive body. The potential estimation apparatus includes a sensor group for sensing and outputting data related to information which affects the electro-photography process, a storage unit for at least storing the data output from the sensor group and information related to charge of the photosensitive body, and an estimation circuit including a neural network for estimating a charged portion potential of the photosensitive body based on a charge retentivity of the photosensitive body learned by the neural network. The neural network in a learning mode receives at least one of the data output from the sensor group and time-sequentially sampled, and parameters which affect the charge retentivity of the photosensitive body as an input, and receives as a teaching value a charged portion potential which is obtained in advance with respect to at least an amount of charge and the charge retentivity of the photosensitive body.",Potential estimating apparatus using a plurality of neural networks for carrying out an electrographic process
"A potential estimation apparatus estimates a potential of a photosensitive body of an image forming apparatus that carries out an electro-photography process using the photosensitive body. The potential estimation apparatus includes a sensor group for sensing and outputting data related to information which affects the electro-photography process, a storage unit for at least storing the data output from the sensor group and information related to charge of the photosensitive body, and an estimation circuit including a neural network for estimating a charged portion potential of the photosensitive body based on a charge retentivity of the photosensitive body learned by the neural network. The neural network in a learning mode receives at least one of the data output from the sensor group and time-sequentially sampled, and parameters which affect the charge retentivity of the photosensitive body as an input, and receives as a teaching value a charged portion potential which is obtained in advance with respect to at least an amount of charge and the charge retentivity of the photosensitive body.",Potential estimating apparatus using a plurality of neural networks for carrying out an electrophotographic process
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for predicting likelihoods of conditions being satisfied using recurrent neural networks. One of the systems is configured to process a temporal sequence comprising a respective input at each of a plurality of time steps and comprises: one or more recurrent neural network layers; one or more logistic regression nodes, wherein each of the logistic regression nodes corresponds to a respective condition from a predetermined set of conditions, and wherein each of the logistic regression nodes is configured to, for each of the plurality of time steps: receive the network internal state for the time step; and process the network internal state for the time step in accordance with current values of a set of parameters of the logistic regression node to generate a future condition score for the corresponding condition for the time step.",Predicting likelihoods of conditions being satisfied using recurrent neural networks
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for predicting likelihoods of conditions being satisfied using recurrent neural networks. One of the systems is configured to process a temporal sequence comprising a respective input at each of a plurality of time steps and comprises: one or more recurrent neural network layers; one or more logistic regression nodes, wherein each of the logistic regression nodes corresponds to a respective condition from a predetermined set of conditions, and wherein each of the logistic regression nodes is configured to, for each of the plurality of time steps: receive the network internal state for the time step; and process the network internal state for the time step in accordance with current values of a set of parameters of the logistic regression node to generate a future condition score for the corresponding condition for the time step.",Predicting likelihoods of conditions being satisfied using recurrent neural networks
A method of predicting the outcome of a patient with neuroblastoma that includes obtaining experimental data on gene selections. The gene selection functions to predict the outcome of a patient with neuroblastoma when the expression of that gene selection is compared to the identical selection from a non-neuroblastoma cell or a different type of neuroblastoma cell. The invention also includes a method of targeting at least one product of a gene that includes administration of a therapeutic agent. The invention also includes the use of a gene selection for predicting the outcome of patient with neuroblastoma.,Prediction of clinical outcome using gene expression profiling and artificial neural networks for patients with neuroblastoma
"The invention relates to a diagnostic system which involves the use of a piece of observed information (5) coming from a process (1) monitored by a programmable automaton (10). The diagnostic system includes: an observation module (30) which collects, at input, the information observed (5) and delivers, at output, a piece of processed information (35) to a learning module (40); and a detection module (20) which collects, at input, the observed information (5) in order to apply a detection process (21) thereto including a diagnostic function (45), which comes from the learning module (40), in order to deliver a diagnostic result (25) at output. The observation module (30) and the detection module (20) are executed by the processing unit (11) of the programmable automaton (10) in the form of function units in accordance with standard IEC1131-3. The learning module (40) elaborates the diagnostic function (45) using an algorithm based on neural networks or on fuzzy logic.",Predictive diagnostic system in a programmable automaton
"Computer-implemented methods, articles of manufacture and computerized systems for identifying or alerting a user of certain data in electronic tax returns. A computerized tax return preparation system including a tax return preparation software application executed by a computing device receives first and second tax data and populates respective fields of the electronic tax return. The system executes a predictive model such as logistic regression, naive bayes, K-means clustering, clustering, k-nearest neighbor, and neural networks. First tax data is an input into the predictive model, which generates an output, which is compared with second tax data. An alert is generated when the second tax data does not satisfy pre-determined criteria relative to the first output generated by the predictive model. The same or other predictive model may be used as additional tax data is received for subsequent tax data analysis.",Predictive model based identification of potential errors in electronic tax return
"A data processing system and method for selecting securities and constructing an investment portfolio is based on a set of artificial neural networks which are designed to model and track the performance of each security in a given capital market and output a parameter which is related to the expected risk adjusted return for the security. Each artificial neural network is trained using a number of fundamental and price and volume history input parameters about the security and the underlying index. The system combines the expected return/appreciation potential data for each security via an optimization process to construct an investment portfolio which satisfies predetermined aggregate statistics. The data processing system receives input from the capital market and periodically evaluates the performance of the investment portfolio, rebalancing it whenever necessary to correct performance degradations.",Predictive neural network means and method for selecting a portfolio of securities wherein each network has been trained using data relating to a corresponding security
"Surfacing relevant and predictively trending digital entities to a user in a content feed is provided. Aspects of a predictive trending system use one or more predictive models, such as neural networks or regression models, to generate predictive trending scores of digital entities (e.g., documents, people, electronic communications, meetings, locations, digital images, digital videos, digital audio, etc.) based on historical scores and context. By taking into account trends and context, the predictive trending system calculates future trending scores of digital entities, and determines which digital entities are both relevant to a given user and likely to be trending around the user and the people in the user's network in the future. The predictive trending system curates the digital entities determined to be relevant and predicted to be trending around the user, and presents the digital entities in a content feed.",Predictive trending of digital entities
"In a disclosed method, a computing device receiver, from a wireless receiver (RX), first data indicative of channel properties of a first communication link between the wireless receiver (RX) in a first device and a wireless transmitter (TX) in a second device. The first device and the second device are located in a building. The computing device further executes a neural network to process the first data to distinguish humans from stationary objects within the building and detect presence of the human in the building. The computing device transmits result data indicative of the presence to at least one of the first device or the second device.",Presence detection with neural networks
"A system and method for tracking, monitoring and learning prisoner or parolee behavior involves obtaining prisoner or parolee data and monitoring data for at least one individual prisoner or parolee, storing the prisoner or parolee data and monitored data into a database, learning prisoner or parolee behavior from the prisoner or parolee data and the monitored data in the database, and updating the prisoner or parolee data and the monitored data in the database. Expert system (i.e. including but not limited to fuzzy logic, reinforcement learning, neural networks, artificial intelligence, etc.) algorithms are executed for determining and analyzing deviated behavior by the prisoner or parolee. A parole level is assigned to the prisoner or parolee and it is determined whether the prisoner or parolee is to be moved up or down a parole level depending on whether the prisoner or parolee behavior does not constitute or does constitute prisoner or parolee violations. Furthermore, the system tracks, monitors, and learns the behavior of the prisoner or parolee by controlling and regulating the permitted/prohibited locations or sectors, the permitted/prohibited location or sector dwell times, the permitted/prohibited travel routes, the permitted/prohibited travel times that the prisoner or parolee spends at or between various locations.",Prisoner tracking and warning system and corresponding methods
"The present invention discloses a general overall system 30 and a general overall method 10 for tracking, monitoring, and learning prisoner or parolee behavior. The system 30 and method 10 involve obtaining prisoner or parolee data and monitoring data for at least one individual prisoner or parolee 38, storing the prisoner or parolee data and monitoring data into a database, learning prisoner or parolee behavior from the prisoner or parolee data and the monitoring data in the database, and updating the prisoner or parolee data and the monitoring data in the database. The present invention involves learning both individual and aggregate prisoner or parolee behavior from the prisoner or parolee data and the monitoring data in the database. The present invention executes expert system (i.e. including but not limited to fuzzy logic, reinforcement learning, neural networks, artificial intelligence, etc.) algorithms for determining and analyzing deviated behavior by the prisoner or parolee 38. The present invention system 30 and method 10 is able to assign a parole level to the prisoner or parolee 38 and determine whether the prisoner or parolee 38 is to be moved up or down a parole level depending on whether the prisoner or parolee behavior does not constitute or does constitute prisoner or parolee violations. Furthermore, the present invention tracks, monitors, and learns the behavior of the prisoner or parolee 38 by controlling and regulating the permitted/prohibited locations or sectors, the permitted/prohibited location or sector dwell times, the permitted/prohibited travel routes, the permitted/prohibited travel times that the prisoner or parolee 38 spend at or between various locations.",Prisoner tracking and warning system and corresponding methods
"The present system performs linear transformations on input probabilities and produces outputs which indicate the likelihood of one or more events. The transformation performed is a product of linear transforms such as P.sub.o =[A.sub.j P.sub.j +B.sub.j ].multidot.[A.sub.k P.sub.k +B.sub.k ] where P.sub.j and P.sub.k are input probabilities, P.sub.o is an output event probability and A.sub.j, B.sub.j, A.sub.k and B.sub.k are transformation constants. The system includes a basic processing unit or computational unit which performs a probabilistic gate operation to convert two input probability signals into one output probability signal where the output probability is equal to the product of linear transformations of the input probabilities. By appropriate selection of transformation constants logical and probabilistic gates performing the functions of AND, NAND, OR, NOR, XOR, NOT, IMPLIES and NOT IMPLIES can be created. The basic unit can include three multipliers and two adders if a discrete component hardwired version is needed for speed or a single multiplier/adder, associated storage and multiplex circuits can be used to accomplish the functions of the hardwired version for economy. This basic unit can also be provided as a software implementation, can be implemented as a hardwired decision tree element implementation or implemented as a universal probabilistic processor and provided with a bus communication structure to create expert systems or neural networks suitable for specific tasks. The basic units can be combined to produce a virtual basic building block which has more virtual processors than physical processors to improve processor utilization. The building blocks can be combined into an array to produce either a high speed expert system or a high speed neural network.",Probabilistic inference gate
"The present disclosure proposes a method of moving object detection in variable bit-rate video steams based on probabilistic neural networks, and the method features a background generation module and a moving object detection module. The background generation module produces a model of background images which express properties of variable bit-rate video streams. The moving object detection module distinguishes a moving object in both low and high bit-rate video steams in an efficient manner. The detection result is generated by calculating the output value of the probabilistic neural networks.",Probabilistic neural network based moving object detection method and an apparatus using the same
"A statistical process, and system for implementing the process, is described for the analysis of stress waves generated in operating machinery or equipment. This technique is called Probabilistic Stress Wave Analysis. The process is applied to a population of individual “feature” values extracted from a digitized time waveform (such as a 2 second Stress Wave Pulse Train, or a 2 month history of Stress Wave Energy). Certain numeric descriptors of the statistical distributions of computed features are then employed as inputs to decision making routines (such as neural networks or simple threshold testing) to accurately classify the condition represented by the original time waveform data, and thereby determine a status of the operating machine/equipment.",Probabilistic stress wave analysis system and method
"More realistic neural networks are disclosed that are able to learn to solve complex problems though a decision making network, modeled as a virtual entity foraging in a digital environment. Specifically, the neural networks overcome many of the limitations in prior neural networks by using rewarded STDP bounded with rules to solve a complex problem.",Problem solving by plastic neuronal networks
"A neural network is provided for equalizing distorted data signals. The data signal to be equalized is coupled via time-delay elements to a group of networks for weighting. The output signals of the networks for weighting are coupled to the input terminals of a plurality of neurons whose outputs are coupled, via a respective amplifier, to input terminals of a further neuron having an output terminals where the equalized data signal can be tapped.",Procedure for equalizing distorted data signals
"A process is stated with which ADALINE-type neural networks whose inputs are Boolean variables can be realized using Boolean functions. In addition, a purely digital circuit arrangement for realizing ADALINE-type neural networks is stated. The digital circuit arrangement can be constructed with the aid of a digital base circuit. The digital base circuit generates the set of Boolean functions which replaces a neuron for any value of its input weighting factors. A process for training the circuit arrangement is stated. It is thus possible to realize and to train ADALINE-type neural networks entirely with the aid of purely digital circuit arrangements.",Process and arrangement for the Boolean realization of adaline-type neural networks
"Customizable neural network in which one or more resistors form each synapse. All the resistors in the synaptic array are identical, thus simplifying the processing issues. Highly doped, amorphous silicon is used as the resistor material, to create extremely high resistances occupying very small spaces. Connected in series with each resistor in the array is at least one severable conductor whose uppermost layer has a lower reflectivity of laser energy than typical metal conductors at a desired laser wavelength.",Process for forming synapses in neural networks and resistor therefor
"A method and a system applying data mining techniques and artificial intelligence algorithms, namely neural networks, operating via an Internet data exchange site, allowing portfolio management companies to access an on-line, standardized questionnaire (Request for Proposal) and present their capabilities. The method then analyses a large number of these questionnaires and classifies managers, categorizing them and ranking their capabilities. In addition, sponsors such as pension funds, endowments, and private clients can submit their offer for the management of their assets. The site provides a Request for Proposal that is modular and continuously adapted to new financial market conditions, legal considerations and Sponsors needs. Once completed by each manager, the questionnaire is maintained in a central database allowing each manager to have an up-to-date and on-line version of questionnaire. The site allows the manager to have access to offers for new mandates in an easier and more efficient way than the old approach that involves approaching each potential Sponsor individually in a time and money consuming manner. The site provides Sponsors the opportunity to request proposals for their mandate from a much higher number of management companies, thus increasing dramatically the efficiency and rationality of their final choice of managers.",Process of selecting portfolio managers based on automated artificial intelligence techniques
""" A process control system uses a performance model, in conjunction with an economic model, to meet either performance or economic objectives. The system operates either automatically, on-line, in """"real time"""" or manually off-line, in """"real time"""" to optimize the process to meet a selected objective. The performance model uses neural networks to determine the interrelationships of each of a set of independent variables (controllable inputs to the process) to each other and their relationship to a set of dependent variables (outputs of the process). The performance model is used to optimize the process to meet performance objectives. The economic model is used in conjunction with the performance model to meet economic objectives. """,Process optimization and control system that plots inter-relationships between variables to meet an objective
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating phoneme representations of acoustic sequences using projection sequences. One of the methods includes receiving an acoustic sequence, the acoustic sequence representing an utterance, and the acoustic sequence comprising a respective acoustic feature representation at each of a plurality of time steps; for each of the plurality of time steps, processing the acoustic feature representation through each of one or more long short-term memory (LSTM) layers; and for each of the plurality of time steps, processing the recurrent projected output generated by the highest LSTM layer for the time step using an output layer to generate a set of scores for the time step.",Processing acoustic sequences using long short-term memory (LSTM) neural networks that include recurrent projection layers
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating phoneme representations of acoustic sequences using projection sequences. One of the methods includes receiving an acoustic sequence, the acoustic sequence representing an utterance, and the acoustic sequence comprising a respective acoustic feature representation at each of a plurality of time steps; for each of the plurality of time steps, processing the acoustic feature representation through each of one or more long short-term memory (LSTM) layers; and for each of the plurality of time steps, processing the recurrent projected output generated by the highest LSTM layer for the time step using an output layer to generate a set of scores for the time step.",Processing acoustic sequences using long short-term memory (LSTM) neural networks that include recurrent projection layers
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for processing cell images using neural networks. One of the methods includes obtaining data comprising an input image of one or more biological cells illuminated with an optical microscopy technique; processing the data using a stained cell neural network; and processing the one or more stained cell images using a cell characteristic neural network, wherein the cell characteristic neural network has been configured through training to receive the one or more stained cell images and to process the one or more stained cell images to generate a cell characteristic output that characterizes features of the biological cells that are stained in the one or more stained cell images.",Processing cell images using neural networks
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for image processing using deep neural networks. One of the methods includes receiving data characterizing an input image; processing the data characterizing the input image using a deep neural network to generate an alternative representation of the input image, wherein the deep neural network comprises a plurality of subnetworks, wherein the subnetworks are arranged in a sequence from lowest to highest, and wherein processing the data characterizing the input image using the deep neural network comprises processing the data through each of the subnetworks in the sequence; and processing the alternative representation of the input image through an output layer to generate an output from the input image.",Processing images using deep neural networks
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for image processing using deep neural networks. One of the methods includes receiving data characterizing an input image; processing the data characterizing the input image using a deep neural network to generate an alternative representation of the input image, wherein the deep neural network comprises a plurality of subnetworks, wherein the subnetworks are arranged in a sequence from lowest to highest, and wherein processing the data characterizing the input image using the deep neural network comprises processing the data through each of the subnetworks in the sequence; and processing the alternative representation of the input image through an output layer to generate an output from the input image.",Processing images using deep neural networks
"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for image processing using deep neural networks. One of the methods includes receiving data characterizing an input image; processing the data characterizing the input image using a deep neural network to generate an alternative representation of the input image, wherein the deep neural network comprises a plurality of subnetworks, wherein the subnetworks are arranged in a sequence from lowest to highest, and wherein processing the data characterizing the input image using the deep neural network comprises processing the data through each of the subnetworks in the sequence; and processing the alternative representation of the input image through an output layer to generate an output from the input image.",Processing images using deep neural networks
"A system and method for processing machine learning techniques (such as neural networks) and other non-graphics applications using a graphics processing unit (GPU) to accelerate and optimize the processing. The system and method transfers an architecture that can be used for a wide variety of machine learning techniques from the CPU to the GPU. The transfer of processing to the GPU is accomplished using several novel techniques that overcome the limitations and work well within the framework of the GPU architecture. With these limitations overcome, machine learning techniques are particularly well suited for processing on the GPU because the GPU is typically much more powerful than the typical CPU. Moreover, similar to graphics processing, processing of machine learning techniques involves problems with solving non-trivial solutions and large amounts of data.",Processing machine learning techniques using a graphics processing unit
"Structured documents are processed using convolutional neural networks. One of the methods includes receiving a rendered form of a structured document; mapping a grid of cells to the rendered form; assigning a respective numeric embedding to each cell in the grid, comprising, for each cell: identifying content in the structured document that corresponds to a portion of the rendered form that is mapped to the cell, mapping the identified content to a numeric embedding for the identified content, and assigning the numeric embedding for the identified content to the cell; generating a matrix representation of the structured document from the numeric embeddings assigned to the cells of the grids; and generating neural network features of the structured document by processing the matrix representation of the structured document through a subnetwork comprising one or more convolutional neural network layers.",Processing structured documents using convolutional neural networks
"Methods, systems, and apparatus, including computer programs encoded on a computer storage medium, for neural machine translation. In one aspect, a system is configured to receive an input sequence of source embeddings representing a source sequence of words in a source natural language and to generate an output sequence of target embeddings representing a target sequence of words that is a translation of the source sequence into a target natural language, the system comprising: a dilated convolutional neural network configured to process the input sequence of source embeddings to generate an encoded representation of the source sequence, and a masked dilated convolutional neural network configured to process the encoded representation of the source sequence to generate the output sequence of target embeddings.",Processing text sequences using neural networks
"A processor has an instruction fetch unit that fetches ISA instructions from memory and execution units that perform operations on instruction operands to generate results according to the processor's ISA. A hardware neural network unit (NNU) execution unit performs computations associated with artificial neural networks (ANN). The NNU has an array of ALUs, a first memory that holds data words associated with ANN neuron outputs, and a second memory that holds weight words associated with connections between ANN neurons. Each ALU multiplies a portion of the data words by a portion of the weight words to generate products and accumulates the products in an accumulator as an accumulated value. Activation function units normalize the accumulated values to generate outputs associated with ANN neurons. The ISA includes at least one instruction that instructs the processor to write data words and the weight words to the respective first and second memories.",Processor with architectural neural network execution unit
"An analog synapse circuit for an artificial neural network requiring less circuitry and interconnections than prior synapses, while affording better weight programming means uses two complementary floating-gate MOSFETs with tunneling injection in an inverter configuration, with each MOSFET storing a weight value. This weight value is set by storing a charge injected by Fowler-Nordheim tunneling, or other tunneling means, into the floating-gate, which shifts the threshold voltage of the device. A programming line applies a current pulse to the MOSFET floating gate to write or erase this stored charge, thereby adjusting the weight of the MOSFET. The two MOSFETs are connected with the gate electrodes connected together and the drain electrodes connected together to provide a common gate and common drain between the two MOSFETs. An input line is connected to the common gate, and an output line is connected to the common drain. The source electrodes of each MOSFET are connected to reference voltages. The synapse circuit may be used in either a feedforword or feedback network, and may be expanded from two to four quadrant operation. The synapse provides a single output current line which represents a function of the input voltage and the stored weights. A plurality of such synapses may be configured in a network, wherein the output lines of each synapse are connected at a current summing node at the input of a neuron. An active load in the input of the neuron allows for both excitatory and inhibitory output current from the synapse circuit.",Programmable analog synapse and neural networks incorporating same
The pulsating behavioral activity of a neural network such as that embodied n a brain tissue slice is monitored by measurement of intervals between spontaneous events to identify the presence of a chaotic regime and determine by real-time calculation a waiting time for electrical pulse intervention pursuant to a behavioral modifying program having a control or anti-control strategy.,Pulsating behavior monitoring and modification system for neural networks
"Relatedness between genes is quantified by constructing nonlinear models predicting gene expression. Effectiveness of the model is evaluated to provide a measurement of the relatedness of genes associated with the model. Various types of models, including full-logic or neural networks can be constructed. A graphical user interface presents results of the analysis to allow evaluation by a user. Each gene's contribution to the measurement of relatedness can be shown on a graph, and graphical representations of models used to predict gene expression can be displayed.",Quantifying gene relatedness via nonlinear prediction of gene
"An apparatus for controlling a quantization step size for use in an encoder which divides one image frame into first blocks and encodes the divided first blocks and transmits the encoded data at a constant transmission rate. The apparatus includes a forward analyzer for detecting image complexity with respect to each first block to be quantized, a luminance analyzer for outputting a luminance value representative of each first block, a picture quality estimator for restoring quantized data by using a quantization step size corresponding to the quantized data and generating a judgement reference value corresponding to a minimum blocking effect which cannot be visually recognized on the basis of the restored data of every second block composed of first blocks, a buffer for storing the quantized data and outputting buffer occupancy of the stored data, a neural network having stored weight values which are updated according to the judgement reference value of the picture quality estimator with respect to the quantized previous second block and the stored update rule, generating a quantization step size for the present second block on the basis of the motion vectors, and/or the image complexity and/or the luminance values with respect to the present second block, the buffer occupancy and the updated weight values, and supplying the quantization step size to the picture quality estimator, and a quantizer for quantizing data of the second blocks encoded by the encoder according to a corresponding quantization step size supplied from the neural network.",Quantization step size control apparatus using neural networks
"Aspects of the disclosure provide a method for configuring a Quantum Annealing (QA) device. Then QA device has a plurality of qubits and a plurality of couplers at overlapping intersections of the qubits. The method includes mapping a node of a neural network that have a plurality of nodes and connections between the nodes to a qubit in the QA device, and mapping a connection of the neural network to a coupler at an intersection in the QA device where two qubits corresponding to two nodes connected by the connection intersect. The method further includes mapping a node of the neural network to a chain of qubits. In an embodiment, a coupling between qubits in the chain is configured to be a ferromagnetic coupling in order to map the node of the neural network to the chain of qubits.",Quantum-assisted training of neural networks
"In a radiation image processing method utilizing a neural network, an image signal representing a radiation image is fed into a neural network, image processing is carried out on the image signal by the neural network, and an output representing the results of the image processing is obtained from the neural network. Image processing, with respect to the whole region of the radiation image, is carried out on the image signal by a first group of neurons of an intermediate layer of the neural network. Image processing, with respect to parts of the region of the radiation image, is carried out on the image signal by a second group of neurons of the intermediate layer of the neural network. Regardless of set values of initial conditions, the output of the neural network becomes converged to a global minimum corresponding to the stored information, and the results of operation obtained from the neural network are not trapped at a local minimum.",Radiation image processing method utilizing neural networks
